,Poem Title,line
0,,
1,,
2,,"Transcribed from the 1913 Thomas J. Wise pamphlet, email ccx074@pglaf.org"
3,,
4,,
5,,
6,,
7,,
8,KING DIDERIK,KING DIDERIK
9,AND THE FIGHT BETWEEN THE,AND THE FIGHT BETWEEN THE
10,LION AND DRAGON,LION AND DRAGON
11,LION AND DRAGON,
12,LION AND DRAGON,
13,AND OTHER BALLADS,AND OTHER BALLADS
14,AND OTHER BALLADS,
15,BY,BY
16,GEORGE BORROW,GEORGE BORROW
17,GEORGE BORROW,
18,LONDON:,LONDON:
19,PRINTED FOR PRIVATE CIRCULATION,PRINTED FOR PRIVATE CIRCULATION
20,PRINTED FOR PRIVATE CIRCULATION,
21,PRINTED FOR PRIVATE CIRCULATION,1913
22,PRINTED FOR PRIVATE CIRCULATION,
23,PRINTED FOR PRIVATE CIRCULATION,_Copyright in the United States of America_
24,PRINTED FOR PRIVATE CIRCULATION,"_by Houghton_, _Mifflin & Co. for Clement Shorter_."
25,PRINTED FOR PRIVATE CIRCULATION,
26,PRINTED FOR PRIVATE CIRCULATION,
27,PRINTED FOR PRIVATE CIRCULATION,
28,PRINTED FOR PRIVATE CIRCULATION,
29,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON
30,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,
31,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,
32,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,"From Bern rode forth King Diderik,"
33,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,A stately warrior form;
34,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,Engaged in fray he found in the way
35,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,A lion and laidly worm. {5}
36,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,
37,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,"They fought for a day, they fought for two,"
38,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,"But ere the third was flown,"
39,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,"The worm outfought the beast, and brought"
40,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,To earth the lion down.
41,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,
42,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,Then cried the lion in his need
43,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,When he the warrior saw:
44,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,"“O aid me quick, King Diderik,"
45,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,To ’scape the Dragon’s claw.
46,KING DIDERIK AND THE LION’S FIGHT WITH THE DRAGON,
