,Poem Title,line
0,,
1,,
2,,
3,,
4,,"Produced by Jonathan Ingram, Leonard Johnson and the Online"
5,,Distributed Proofreading Team at http://www.pgdp.net (This
6,,file was produced from images generously made available
7,,by The Internet Archive/Canadian Libraries)
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,The English Dramatists
19,,
20,CHRISTOPHER MARLOWE,CHRISTOPHER MARLOWE
21,CHRISTOPHER MARLOWE,
22,VOLUME THE THIRD,VOLUME THE THIRD
23,VOLUME THE THIRD,
24,VOLUME THE THIRD,
25,VOLUME THE THIRD,
26,VOLUME THE THIRD,
27,VOLUME THE THIRD,[Greek:
28,VOLUME THE THIRD,Hadymelei
29,VOLUME THE THIRD,thama men phormingi pamphÙnoisi t' en entesin aulÙn.]
30,VOLUME THE THIRD,
31,VOLUME THE THIRD,"PINDAR, _Olymp._ vii."
32,VOLUME THE THIRD,
33,VOLUME THE THIRD,
34,VOLUME THE THIRD,
35,VOLUME THE THIRD,
36,THE WORKS,THE WORKS
37,THE WORKS,
38,OF,OF
39,OF,
40,CHRISTOPHER MARLOWE,CHRISTOPHER MARLOWE
41,CHRISTOPHER MARLOWE,
42,CHRISTOPHER MARLOWE,
43,CHRISTOPHER MARLOWE,
44,EDITED BY,EDITED BY
45,"A. H. BULLEN, B.A.","A. H. BULLEN, B.A."
46,"A. H. BULLEN, B.A.",
47,"A. H. BULLEN, B.A.",
48,IN THREE VOLUMES,IN THREE VOLUMES
49,VOLUME THE THIRD,VOLUME THE THIRD
50,VOLUME THE THIRD,
51,VOLUME THE THIRD,
52,VOLUME THE THIRD,
53,LONDON,LONDON
54,JOHN C. NIMMO,JOHN C. NIMMO
55,"14. KING WILLIAM STREET, STRAND, W.C.","14. KING WILLIAM STREET, STRAND, W.C."
56,MDCCCLXXXV,MDCCCLXXXV
57,MDCCCLXXXV,
58,MDCCCLXXXV,
59,MDCCCLXXXV,"_One hundred and twenty copies of this Edition on Laid paper, medium"
60,MDCCCLXXXV,"8vo, have been printed, and are numbered consecutively as issued._"
61,MDCCCLXXXV,
62,MDCCCLXXXV,_No._ ____
63,MDCCCLXXXV,
64,CONTENTS OF VOL. III.,CONTENTS OF VOL. III.
65,CONTENTS OF VOL. III.,
66,CONTENTS OF VOL. III.,
67,PAGE,PAGE
68,PAGE,
69,HERO AND LEANDER                                                       1,HERO AND LEANDER                                                       1
70,HERO AND LEANDER                                                       1,
71,OVID'S ELEGIES                                                       103,OVID'S ELEGIES                                                       103
72,OVID'S ELEGIES                                                       103,
73,EPIGRAMS BY J. D.                                                    211,EPIGRAMS BY J. D.                                                    211
74,EPIGRAMS BY J. D.                                                    211,
75,THE FIRST BOOK OF LUCAN                                              249,THE FIRST BOOK OF LUCAN                                              249
76,THE FIRST BOOK OF LUCAN                                              249,
