,Poem Title,line
0,,
1,,
2,,"Transcribed from the 1914 Gay and Hancock edition by David Price, email"
3,,ccx074@pglaf.org
4,,
5,,[Picture: Book cover]
6,,
7,,
8,,
9,,
10,,
11,POEMS OF CHEER,POEMS OF CHEER
12,POEMS OF CHEER,
13,POEMS OF CHEER,
14,BY,BY
15,ELLA WHEELER WILCOX,ELLA WHEELER WILCOX
16,ELLA WHEELER WILCOX,
17,ELLA WHEELER WILCOX,[Picture: Decorative graphic]
18,ELLA WHEELER WILCOX,
19,"GAY AND HANCOCK, LTD.","GAY AND HANCOCK, LTD."
20,"GAY AND HANCOCK, LTD.","12 and 13, HENRIETTA STREET, COVENT GARDEN"
21,LONDON,LONDON
22,LONDON,1914
23,LONDON,
24,LONDON,[_All rights reserved_]
25,LONDON,
26,LONDON,* * * * *
27,LONDON,
28,LONDON,"THIS Volume contains the poems published under the title “Poems of Life,”"
29,LONDON,"with the exception of about half a dozen, which appear in my other"
30,LONDON,volumes.  I have also added a few new verses.
31,LONDON,
32,LONDON,Any edition of my Poems published in Great Britain by any firm except
33,LONDON,Messrs. Gay and Hancock is pirated and not authentic.
34,LONDON,
35,ELLA WHEELER WILCOX.,ELLA WHEELER WILCOX.
36,ELLA WHEELER WILCOX.,
37,ELLA WHEELER WILCOX.,"_April_ 12_th_, 1910."
38,ELLA WHEELER WILCOX.,
39,ELLA WHEELER WILCOX.,* * * * *
40,ELLA WHEELER WILCOX.,
41,ELLA WHEELER WILCOX.,"_I step across the mystic border-land_,"
42,ELLA WHEELER WILCOX.,_And look upon the wonder-world of Art_.
43,ELLA WHEELER WILCOX.,"_How beautiful_, _how beautiful its hills_!"
44,ELLA WHEELER WILCOX.,"_And all its valleys_, _how surpassing fair_!"
45,ELLA WHEELER WILCOX.,
46,ELLA WHEELER WILCOX.,_The winding paths that lead up to the heights_
47,ELLA WHEELER WILCOX.,_Are polished by the footsteps of the great_.
48,ELLA WHEELER WILCOX.,_The mountain-peaks stand very near to God_:
49,ELLA WHEELER WILCOX.,_The chosen few whose feet have trod thereon_
50,ELLA WHEELER WILCOX.,"_Have talked with Him_, _and with the angels walked_."
51,ELLA WHEELER WILCOX.,
52,ELLA WHEELER WILCOX.,_Here are no sounds of discord—no profane_
53,ELLA WHEELER WILCOX.,_Or senseless gossip of unworthy things—_
54,ELLA WHEELER WILCOX.,"_Only the songs of chisels and of pens_,"
55,ELLA WHEELER WILCOX.,"_Of busy brushes_, _and ecstatic strains_"
56,ELLA WHEELER WILCOX.,_Of souls surcharged with music most divine_.
57,ELLA WHEELER WILCOX.,"_Here is no idle sorrow_, _no poor grief_"
58,ELLA WHEELER WILCOX.,_For any day or object left behind—_
59,ELLA WHEELER WILCOX.,"_For time is counted precious_, _and herein_"
60,ELLA WHEELER WILCOX.,_Is such complete abandonment of Self_
