,Poem Title,Stanza
10,ALL RIGHTS RESERVED,COPYRIGHT 1903 BY JOSEPHINE PRESTON PEABODY COPYRIGHT 1908 BY JOSEPHINE PEABODY MARKS ALL RIGHTS RESERVED 
13,"JULY, 1908","_Of the poems of child-life brought together in this book many are wholly new; some are reprinted from ""The Singing Leaves,"" published in 1903; and others have appeared in Harper's Monthly Magazine, to the editor of which I am indebted for permission to reprint them._ _J. P. M._ JULY, 1908 "
57,THE GREEN SINGING-BOOK           44,"First of all, I draw the Smoke Trailing up the sky; Then the Chimney, underneath; And Birds all flying by; Then the House; and every Window, Watching, like an Eye. "
58,THE GREEN SINGING-BOOK           44,"Everybody else begins With the House. But I Love the Smoke the best of all; And you don't know why!... Here it goes,--like little feathers, Sailing up the sky! "
60,THE GREEN SINGING-BOOK           44,"I have so many things to do, I don't know when I shall be through. "
61,THE GREEN SINGING-BOOK           44,To-day I had to watch the rain Come sliding down the window-pane. 
62,THE GREEN SINGING-BOOK           44,"And I was humming, all the time, Around my head, a kind of rhyme, "
63,THE GREEN SINGING-BOOK           44,"And blowing softly on the glass, To see the dimness come and pass. "
64,THE GREEN SINGING-BOOK           44,"I made a picture, with my breath Rubbed out to show the underneath. "
65,THE GREEN SINGING-BOOK           44,I built a city on the floor; And then I went and was a War.-- 
66,THE GREEN SINGING-BOOK           44,"And I escaped, from square to square That's greener on the carpet, there, "
67,THE GREEN SINGING-BOOK           44,"Until at last, I came to Us: But it was very dangerous.-- "
68,THE GREEN SINGING-BOOK           44,"Because, if I had stepped Outside, I made believe I should have died! "
70,THE GREEN SINGING-BOOK           44,And now I have the boat to mend; And all our supper to pretend. 
71,THE GREEN SINGING-BOOK           44,"I am so Busy, all the day, I haven't any time to play. "
73,THE GREEN SINGING-BOOK           44,"Those islands far away are mine, Beyond the cloudy strip; And something beautiful, besides:-- I think it is a Ship. "
75,THE GREEN SINGING-BOOK           44,"I let them call it just _The Wind_, And tell me not to grieve. But I know all it left behind, And more than they believe. "
76,THE GREEN SINGING-BOOK           44,"I know; about the far-off lands, Where people never sleep; They hide their faces in their hands, And rock, and weep, and weep. "
77,THE GREEN SINGING-BOOK           44,"And I too little, all alone, To go and find them yet;-- But Oh, I hear!--When I am grown, I never will forget. "
79,THE GREEN SINGING-BOOK           44,"My Father brought somebody up, To show us all, asleep. They came as softly up the stairs As you could creep. "
80,THE GREEN SINGING-BOOK           44,"They whispered in the doorway there, And looked at us awhile. I had my eyes shut up; but I Could feel him smile. "
81,THE GREEN SINGING-BOOK           44,"I shut my eyes up close, and lay As still as I could keep; Because I knew he wanted us To be asleep. "
83,THE GREEN SINGING-BOOK           44,"I'm always glad when Andrew comes. If only I am there, He stays awhile, and talks to me, As if he did not care. "
84,THE GREEN SINGING-BOOK           44,"He took me to some Music once, When it was all for me. And Oh, I had a splendid time! And he said, So did He. "
85,THE GREEN SINGING-BOOK           44,"It lasts as if the Music still Went round and round the sky.-- He said he had a good time, too; And I said, So did I! "
87,THE GREEN SINGING-BOOK           44,"I never saw the hills so far And blue, the way the pictures are; "
88,THE GREEN SINGING-BOOK           44,"And flowers, flowers growing thick, But not a one for me to pick! "
89,THE GREEN SINGING-BOOK           44,"The land was running from the train, All blurry through the window-pane. "
90,THE GREEN SINGING-BOOK           44,"And then it all looked flat and still, When up there jumped a little hill! "
91,THE GREEN SINGING-BOOK           44,"I saw the windows and the spires, And sparrows sitting on the wires; "
92,THE GREEN SINGING-BOOK           44,"And fences, running up and down; And then we cut straight through a town. "
93,THE GREEN SINGING-BOOK           44,"I saw a Valley, like a cup; And ponds that twinkled, and dried up. "
95,THE GREEN SINGING-BOOK           44,"I counted meadows, that were burnt; And there were trees,--and then there weren't! "
96,THE GREEN SINGING-BOOK           44,"We crossed the bridges with a roar, Then hummed, the way we went before. "
97,THE GREEN SINGING-BOOK           44,And tunnels made it dark and light Like open-work of day and night. 
98,THE GREEN SINGING-BOOK           44,"Until I saw the chimneys rise, And lights and lights and lights, like eyes. "
99,THE GREEN SINGING-BOOK           44,"And when they took me through the door, I heard It all begin to roar.-- "
100,THE GREEN SINGING-BOOK           44,I thought--as far as I could see-- That everybody wanted Me! 
102,THE GREEN SINGING-BOOK           44,"They never seem to hurry,--no, Even for the crowd. They dip, and coo, and move as slow, All so soft and proud! You can see the wavy specks Of bubble-color on their necks; --Little, little Cloud. "
103,THE GREEN SINGING-BOOK           44,"Cloud that goes, the very way All the Bubbles do: Blue and green, and green and gray, Gold and rosy, too. And they talk as Bubbles could If they only ever would Talk and call and coo! "
104,THE GREEN SINGING-BOOK           44,"--Till you try to catch one so, Just to make it stay While the colors turn. But Oh, Then they fly away!-- All at once, two, three, four, five-- Like a snowstorm all alive,-- Gray and white, and gray! "
106,THE GREEN SINGING-BOOK           44,"I wish she would not ask me if I love the Kitten more than her. Of Course I love her. But I love the Kitten, too; and It has Fur. "
108,THE GREEN SINGING-BOOK           44,"It happens that way in the world With everything you see. Some people have their hair all curl'd, Some straight as straight can be. It is a Mystery. "
109,THE GREEN SINGING-BOOK           44,"Yes, some have hair that waves and clings, And does all kinds of curly things;-- And some not ever, till they Die. And nobody knows Why.... And some,--already born with Curls, Some of them are not even Girls! "
