,Poem Title,Stanza
2,TRANSCRIBER'S NOTE:,This file contains only characters from the Latin-1 character set. The original work used accented characters not available in the Latin-1 set. These accents are represented here using a bracket notation as follows: 
3,TRANSCRIBER'S NOTE:,"[-a] a with macron         [a,] a with ogonek (tail) ['c] c with acute accent   [vc] c with caron [-e] e with macron         [ve] e with caron [e,] e with ogonek         [)e] e with breve [-i] i with macron         [)i] i with breve [/l] ell with stroke ['m] m with acute accent ['n] n with acute accent   [vn] n with caron [-o] o with macron [vr] r with caron          [.r] r with dot over ['s] s with acute accent   [vs] s with caron [-u] u with macron ['z] z with acute accent   [.Z] Z with dot over   [vz] z with caron "
4,TRANSCRIBER'S NOTE:,"The original work also uses Greek, Cyrillic and Hebrew characters. These are represented by latin transliterations in brackets, for example [Cyrillic: lorda Bairona] or [Greek: Paroramata]. "
5,TRANSCRIBER'S NOTE:,"The original work used occasional superscript characters, which are shown here using a carat, for example L^n (abbreviation of London), Esq^re^ or Hon^ble^. In the section entitled NOTES, the original work showed how lines of text were hand-edited, including words or phrases that were deleted by striking a line through them. These are shown thus: (-stricken text-). "
12,NEW YORK: CHARLES SCRIBNER'S SONS.,"LONDON: JOHN MURRAY, ALBEMARLE STREET. NEW YORK: CHARLES SCRIBNER'S SONS. "
15,PREFACE TO THE SEVENTH VOLUME.,"Of the seventy-three ""Epigrams and Jeux d'Esprit,"" which are printed at the commencement of this volume, forty-five were included in Murray's one-volume edition of 1837, eighteen have been collected from various publications, and ten are printed and published for the first time. "
16,PREFACE TO THE SEVENTH VOLUME.,"The ""Devil's Drive,"" which appears in Moore's _Letters and Journals_, and in the sixth volume of the Collected Edition of 1831 as an ""Unfinished Fragment"" of ninety-seven lines, is now printed and published for the first time in its entirety (248 lines), from a MS. in the possession of the Earl of Ilchester. ""A Farewell Petition to J.C.H. Esq.;"" ""My Boy Hobbie O;"" ""[Love and Death];"" and ""Last Words on Greece,"" are reprinted from the first volume of _Murray's Magazine_ (1887). "
17,PREFACE TO THE SEVENTH VOLUME.,"A few imperfect and worthless poems remain in MS.; but with these and one or two other unimportant exceptions, the present edition of the Poetical Works may be regarded as complete. "
18,PREFACE TO THE SEVENTH VOLUME.,"In compiling a ""Bibliography of the successive Editions and Translations of Lord Byron's Poetical Works,"" I have endeavoured, in the first instance, to give a full and particular account of the collected editions and separate issues of the poems and dramas which were open to my inspection; and, secondly, to extract from general bibliographies, catalogues of public and private libraries, and other sources bibliographical records of editions which I have been unable to examine, and were known to me only at second-hand. It will be observed that the _title-pages_ of editions which have passed through my hands are aligned; the _titles_ of all other editions are italicized. "
19,PREFACE TO THE SEVENTH VOLUME.,"I cannot pretend that this assortment of bibliographical entries is even approximately exhaustive; but as ""a sample"" of a bibliography it will, I trust, with all its imperfections, be of service to the student of literature, if not to the amateur or bibliophile. With regard to nomenclature and other technicalities, my aim has been to put the necessary information as clearly and as concisely as possible, rather than to comply with the requirements of this or that formula. But the path of the bibliographer is beset with difficulties. ""Al Sirat's arch""--""the bridge of breadth narrower than the thread of a famished spider, and sharper than the edge of a sword"" (see _The Giaour_, line 483, _note_ I)--affords an easier and a safer foothold. "
