,Poem Title,Stanza
3,EYESHINE,Copyright © 1978 by Paul Cameron Brown All rights reserved 
6,EYESHINE,"English born, Paul Cameron Brown has lived in or around the Toronto area for most of his thirty years. His poems have appeared in periodicals across Canada and into the United States. One previous book, Whispers, appeared in 1977. "
9,ACKNOWLEDGEMENTS,"Canadian Author and Bookman, Grain, Androgyne (USA), Maker, Quarry, Or, Otherthan Review, Jewish Dialog, Tightrope, Alpha, Nebula, Horizon, Boreal, Stuffed Crocodile, Northern Journey, Origins, Mamashee, Wee Giant, Unchained Heart (USA), Poetic License. "
11,ISBN: 0-88823-014-1,"Copyright © 1978 by Paul Cameron Brown All rights reserved ISBN: 0-88823-014-1 Published by Three Trees Press P.O. Box 70, Postal Station ""V"" Toronto, Ont. M6R 3A4, Canada Printed and bound in Canada. "
16,CONTENTS,7  Stillness 8  Hewanorra 9  The Intruder 10 Dinner at Eight 12 The Bay of Cortes 13 Oracabessa 14 Prospectus 15 Gladiators 16 Ocean Sea 19 Cold Passion 21 For Tom Thom son 23 The Woodsman 24 East of Oswego 25 Presence of Mind 27 Fishing Nets 28 Rites of Intensification 29 Jagged Wire 30 Eyeshine 32 Sweet Water 33 Primavera 34 The Encounter 35 Magpie Tongues 36 Plums and Vine 37 Perhaps 38 Approaching Thirty (Lauds and Matins) 39 Passageways 42 Kindling 43 The Glowworm 44 Between Two Stones 45 The Waters of the Bay Lie Beneath 47 Passing 48 Kith and Kin 50 To Sit Arrayed 51 Silver Coins 52 Sentry 53 The Potato Eaters 54 The Assignation (Pons Asinorum) 55 Haunted Child 56 Triangular Trade 57 Casting Rocks 58 Brushstroke 59 Man 60 Landing Schemes 61 Mirage 62 Stone Guide 63 Red Illusions Under Glass 
19,STILLNESS,"Invitingly, the sea shines her stars, captive flames within an impatient heart as darkness loads the pleasent isles with coarseness, slow sparks rise over a roaring fire. "
20,STILLNESS,"And strolling beaches near dawn when the sand fleas & crabs are seen to flee, one catches upon the imperfect stillness a song of one - wind with sea drawning near inward, such stars turn as bonds at last worked free. 7 "
23,HEWANORRA,"The moon, at most a shudder or two away. The sky, bivouaked and cloudy, is within twin sloops of a bay. The lagoon opens, spars with the greater ocean by island hopping, green azure blue, as the wind steps before an open sea. "
24,HEWANORRA,"The great ridge of the mountain lies obscured by rain; jasmine, frequent colour and plantations with cocoa, soursop, and cinnamon. "
25,HEWANORRA,"Arawaks, Pelee, Carriacoi, Anegada, Josephine of the Creoles, let Admiral Rodney atone Lord Byng. "
26,HEWANORRA,"And my Patois beauty, breath laced Oleander sweet - take the hemming from your dress then come sit down with me. 8 "
