,Poem Title,Stanza
1,| TRANSCRIBER'S NOTES                                    |,+--------------------------------------------------------+ | TRANSCRIBER'S NOTES                                    | |                                                        | | The letter o with a macron is represented as o[u].     | +--------------------------------------------------------+ 
3,| TRANSCRIBER'S NOTES                                    |,+--------------------------------------------------------+ | By John Gould Fletcher                                 | |                                                        | | Japanese Prints                                        | | Goblins and Pagodas                                    | | Irradiations: Sand and Spray                           | +--------------------------------------------------------+ 
5,| TRANSCRIBER'S NOTES                                    |,"""Of what is she dreaming? Of long nights lit with orange lanterns, Of wine-cups and compliments and kisses of the two-sword men."" "
15,| TRANSCRIBER'S NOTES                                    |,"_Granted this dew-drop world be but a dew-drop world, This granted, yet--_ "
19,PART I.,"Lovers Embracing                                     21 A Picnic Under the Cherry Trees                      22 Court Lady Standing Under Cherry Tree                23 Court Lady Standing Under a Plum Tree                24 A Beautiful Woman                                    25 A Reading                                            26 An Actor as a Dancing Girl                           27 Josan No Miya                                        28 An Oiran and Her Kamuso                              29 Two Ways Of Love                                     30 Kurenai-ye or ""Red Picture""                          31 A Woman Standing by a Gate with an Umbrella          32 Scene from a Drama                                   33 A Woman in Winter Costume                            34 A Pedlar                                             35 Kiyonobu and Kiyomasu Contrasted                     36 An Actor                                             37 "
21,PART II.,"Memory and Forgetting                                41 Pillar-Print, Masonobu                               42 The Young Daimyo                                     43 Masonubu--Early                                      44 The Beautiful Geisha                                 45 A Young Girl                                         46 The Heavenly Poetesses                               47 The Old Love and The New                             48 Fugitive Thoughts                                    49 Disappointment                                       50 The Traitor                                          51 The Fop                                              52 Changing Love                                        53 In Exile                                             54 The True Conqueror                                   55 Spring Love                                          56 The Endless Lament                                   57 Toyonobu. Exile's Return                             58 Wind and Chrysanthemum                               59 The Endless Pilgrimage                               60 "
23,PART III.,The Clouds                                           63 Two Ladies Contrasted                                64 A Night Festival                                     65 Distant Coasts                                       66 On the Banks of the Sumida                           67 Yoshiwara Festival                                   68 Sharaku Dreams                                       69 A Life                                               70 Dead Thoughts                                        71 A Comparison                                         72 Mutability                                           73 Despair                                              74 The Lonely Grave                                     75 
25,PART IV.,Evening Sky                                          79 City Lights                                          80 Fugitive Beauty                                      81 Silver Jars                                          82 Evening Rain                                         83 Toy-Boxes                                            84 Moods                                                85 Grass                                                86 A Landscape                                          87 Terror                                               88 Mid-Summer Dusk                                      89 Evening Bell from a Distant Temple                   90 A Thought                                            91 The Stars                                            92 Japan                                                93 Leaves                                               94 
27,PART IV.,"""Of what is she dreaming? Of long nights lit with orange lanterns, Of wine-cups and compliments and kisses of the two-sword men.""                       Frontispiece "
31,HEADPIECE--PART II                                        39,"""Out of the rings and the bubbles, The curls and the swirls of the water, Out of the crystalline shower of drops shattered in play, Her body and her thoughts arose.""                        46 "
