,Poem Title,line
0,,
1,,
2,,"Transcribed from the 1919 Gay and Hancock edition by David Price, email"
3,,ccx074@pglaf.org
4,,
5,,[Picture: Book cover]
6,,
7,,
8,,
9,,
10,,
11,"HELLO, BOYS!","HELLO, BOYS!"
12,"HELLO, BOYS!",
13,"HELLO, BOYS!",
14,BY,BY
15,BY,
16,ELLA WHEELER WILCOX,ELLA WHEELER WILCOX
17,ELLA WHEELER WILCOX,
18,ELLA WHEELER WILCOX,[Picture: Decorative graphic]
19,ELLA WHEELER WILCOX,
20,LONDON,LONDON
21,LONDON,
22,"GAY AND HANCOCK, LTD.","GAY AND HANCOCK, LTD."
23,"GAY AND HANCOCK, LTD.",
24,"GAY AND HANCOCK, LTD.",1919
25,"GAY AND HANCOCK, LTD.",
26,"GAY AND HANCOCK, LTD.",_All rights reserved_
27,"GAY AND HANCOCK, LTD.",
28,"GAY AND HANCOCK, LTD.",* * * * *
29,"GAY AND HANCOCK, LTD.",
30,"GAY AND HANCOCK, LTD.",_N.B._—The only volumes of my Poems issues
31,"GAY AND HANCOCK, LTD.",with my approval in the British Empire are
32,"GAY AND HANCOCK, LTD.",published by Messrs. Gay & Hancock.
33,"GAY AND HANCOCK, LTD.",
34,ELLA WHEELER WILCOX.,ELLA WHEELER WILCOX.
35,ELLA WHEELER WILCOX.,
36,ELLA WHEELER WILCOX.,
37,ELLA WHEELER WILCOX.,
38,ELLA WHEELER WILCOX.,
39,FORWARD,FORWARD
40,FORWARD,
41,FORWARD,
42,FORWARD,THE greater part of these verses dealing with the war were written in
43,FORWARD,"France during my recent seven months’ sojourn there, and for the purpose"
44,FORWARD,of using in entertainments given in camps and hospitals to thousands of
45,FORWARD,American soldiers.
46,FORWARD,
47,FORWARD,They were the result of coming into close contact with the soldiers’ mind
48,FORWARD,"and heart, and were intentionally expressed in the simplest manner,"
49,FORWARD,without any consideration of methods approved by modern critics.  The
50,FORWARD,fact that I have been asked to autograph scores of copies of many of
51,FORWARD,these verses (and one of them to the extent of 350 copies) is more
52,FORWARD,gratifying to me than would be the highest encomiums of the purely
53,FORWARD,literary critic.
54,FORWARD,
55,ELLA WHEELER WILCOX.,ELLA WHEELER WILCOX.
56,ELLA WHEELER WILCOX.,
57,ELLA WHEELER WILCOX.,"London,"
58,ELLA WHEELER WILCOX.,_October_ 1918.
59,ELLA WHEELER WILCOX.,
60,ELLA WHEELER WILCOX.,
61,ELLA WHEELER WILCOX.,
62,ELLA WHEELER WILCOX.,
63,CONTENTS,CONTENTS
64,CONTENTS,
65,PAGE,PAGE
66,THANKSGIVING                                     1,THANKSGIVING                                     1
67,THE BRAVE HIGHLAND LADDIES                       3,THE BRAVE HIGHLAND LADDIES                       3
68,MEN OF THE SEA                                   6,MEN OF THE SEA                                   6
