,Poem Title,line
0,,
1,,
2,,"E-text prepared by Rick Niles, Rudy Ketterer, and the Project Gutenberg"
3,,Online Distributed Proofreading Team (http://www.pgdp.net/)
4,,
5,,
6,,
7,,Transcriber's note:
8,,
9,,Italicized words or phrases are enclosed by underscores;
10,,example: _word_
11,,
12,,
13,,
14,,
15,,
16,WITH THE COLORS,WITH THE COLORS
17,WITH THE COLORS,
18,WITH THE COLORS,Songs of the American Service
19,WITH THE COLORS,
20,WITH THE COLORS,by
21,WITH THE COLORS,
22,EVERARD JACK APPLETON,EVERARD JACK APPLETON
23,EVERARD JACK APPLETON,
24,EVERARD JACK APPLETON,"Author of ""The Quiet Courage"""
25,EVERARD JACK APPLETON,
26,EVERARD JACK APPLETON,
27,EVERARD JACK APPLETON,
28,EVERARD JACK APPLETON,
29,EVERARD JACK APPLETON,
30,EVERARD JACK APPLETON,
31,EVERARD JACK APPLETON,
32,EVERARD JACK APPLETON,Cincinnati
33,EVERARD JACK APPLETON,Stewart & Kidd Company
34,EVERARD JACK APPLETON,1917
35,EVERARD JACK APPLETON,"Copyright, 1917 by"
36,EVERARD JACK APPLETON,Stewart & Kidd Company
37,EVERARD JACK APPLETON,All Rights Reserved
38,EVERARD JACK APPLETON,Copyright in England
39,EVERARD JACK APPLETON,
40,EVERARD JACK APPLETON,
41,EVERARD JACK APPLETON,
42,EVERARD JACK APPLETON,
43,TO THE,TO THE
44,TO THE,
45,BEST FLAG OF ALL:,BEST FLAG OF ALL:
46,BEST FLAG OF ALL:,
47,BEST FLAG OF ALL:,The Stars and Stripes.
48,BEST FLAG OF ALL:,
49,BEST FLAG OF ALL:,
50,BEST FLAG OF ALL:,
51,BEST FLAG OF ALL:,
52,CONTENTS,CONTENTS
53,CONTENTS,
54,CONTENTS,
55,I--WITH THE COLORS,I--WITH THE COLORS
56,I--WITH THE COLORS,
57,I--WITH THE COLORS,The Colors                           9
58,I--WITH THE COLORS,Loyalty                             10
59,I--WITH THE COLORS,The Old National Guard              11
60,I--WITH THE COLORS,The Alien                           13
61,I--WITH THE COLORS,The 'Skeeter Fleet                  17
62,I--WITH THE COLORS,Little Mother                       18
63,I--WITH THE COLORS,Soldiers of the Soil                20
64,I--WITH THE COLORS,The Lady's Man                      22
65,I--WITH THE COLORS,Cookie Jim                          23
66,I--WITH THE COLORS,The Sandwich Girl                   25
67,I--WITH THE COLORS,Bugler Bill                         28
68,I--WITH THE COLORS,Heinie the Hostler                  29
69,I--WITH THE COLORS,Our Job                             31
70,I--WITH THE COLORS,Her Johnny                          33
71,I--WITH THE COLORS,The First Fleet                     34
72,I--WITH THE COLORS,Briggs of Base No. 8                36
73,I--WITH THE COLORS,The Penguin Driver                  39
74,I--WITH THE COLORS,Waitin'                             40
75,I--WITH THE COLORS,We're All Right Here                42
76,I--WITH THE COLORS,Reprisal                            44
