,Poem Title,Stanza
0,,"E-text prepared by K. Nordquist, Jacqueline Jeremy, and the Project Gutenberg Online Distributed Proofreading Team (http://www.pgdp.net) "
1,THE NEW MORNING,THE NEW MORNING 
2,ALFRED NOYES,ALFRED NOYES 
3,ALFRED NOYES,*       *       *       *       * 
4,WORKS OF ALFRED NOYES,WORKS OF ALFRED NOYES 
5,THE NEW MORNING,COLLECTED POEMS--_2 Vols._ THE LORD OF MISRULE A BELGIAN CHRISTMAS EVE THE WINE-PRESS WALKING SHADOWS--_Prose_ TALES OF THE MERMAID TAVERN SHERWOOD THE ENCHANTED ISLAND AND OTHER POEMS DRAKE: AN ENGLISH EPIC POEMS THE FLOWER OF OLD JAPAN THE GOLDEN HYNDE THE NEW MORNING 
6,THE NEW MORNING,*       *       *       *       * 
7,THE NEW MORNING,THE NEW MORNING 
8,THE NEW MORNING,Poems 
9,THE NEW MORNING,by 
10,ALFRED NOYES,ALFRED NOYES 
11,ALFRED NOYES,[Illustration (publisher's logo)] 
12,ALFRED NOYES,New York Frederick A. Stokes Company Publishers 
13,ALFRED NOYES,"Copyright, 1918, by Alfred Noyes Copyright, 1919, by Frederick A. Stokes Company All rights reserved, including that of translation into foreign languages "
14,DEDICATION,DEDICATION 
15,SPRING-RICE,TO THE MEMORY OF SIR CECIL SPRING-RICE 
16,I.,I. 
17,I.,"Steadfast as any soldier of the line He served his England, with the imminent death Poised at his heart. Nor could the world divine The constant peril of each burdened breath. "
18,I.,"England, and the honour of England, he still served Walking the strict path, with the old high pride Of those invincible knights who never swerved One hair's breadth from the way until they died. "
19,I.,"Quietness he loved, and books, and the grave beauty Of England's Helicon, whose eternal light Shines like a lantern on that road of duty, Discerned by few in this chaotic night. "
20,I.,"And his own pen, foretelling his release, Told us that he foreknew ""the end was peace."" "
21,II.,II. 
22,II.,"Soldier of England, he shall live unsleeping Among his friends, with the old proud flag above; For even today her honour is in his keeping. He has joined the hosts that guard her with their love. "
23,II.,"They shine like stars, unnumbered happy legions, In that high realm where all our darkness dies. He moves, with honour, in those loftier regions, Above this ""world of passion and of lies"": "
24,II.,"For so he called it, keeping his own pure passion A silent flame before the true and good; Not fawning on the throng in this world's fashion To come and see what all might see who would. "
25,II.,"Soldier of England, brave and gentle knight, The soul of Sidney welcomes you tonight. "
26,CONTENTS,CONTENTS 
27,PAGE,PAGE 
28,DEDICATION: TO THE MEMORY OF SIR CECIL,DEDICATION: TO THE MEMORY OF SIR CECIL SPRING-RICE                                       v 
29,"""THE AVENUE OF THE ALLIES""                      3","""THE AVENUE OF THE ALLIES""                      3 "
30,ON THE WESTERN FRONT                            8,ON THE WESTERN FRONT                            8 
31,VICTORY                                        10,VICTORY                                        10 
32,"AMERICAN POEMS, 1912-1917","AMERICAN POEMS, 1912-1917 "
33,REPUBLIC AND MOTHERLAND                        19,REPUBLIC AND MOTHERLAND                        19 
34,THE UNION                                      22,THE UNION                                      22 
