,Poem Title,Stanza
0,,Produced by Julia Miller and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from scans of public domain material produced by Microsoft for their Live Search Books site.) 
1,,Transcriber's Note 
2,,The original text used both symbol and numbered footnote markers. This text maintains the distinction. Obvious typographical errors have been corrected. A list of corrections is found at the end of the text along with a list of inconsistently spelled words. 
3,,[Decorative illustration] 
4,"OWEN MEREDITH'S ""LUCILE.""","We may live without poetry, music, and art; We may live without conscience and live without heart; We may live without friends; we may live without books; But civilized man cannot live without _cooks_. He may live without books--what is knowledge but grieving? He may live without hope--what is hope but deceiving? He may live without love--what is passion but pining? But where is the man who can live without _dining_? OWEN MEREDITH'S ""LUCILE."" "
5,"OWEN MEREDITH'S ""LUCILE.""",[Decorative illustration] 
6,POETICAL COOK-BOOK.,A POETICAL COOK-BOOK. 
7,BY,BY 
8,BY,[Illustration: Author's initials] 
9,BY,"""I REQUEST you will prepare To your own taste the bill of fare; At present, if to judge I'm able, The finest works are of the table. I should prefer the cook just now To Rubens or to Gerard Dow."" "
10,PHILADELPHIA:,PHILADELPHIA: 
11,PHILADELPHIA:,[Colophon] 
12,"CAXTON PRESS OF C. SHERMAN, SON & CO.","CAXTON PRESS OF C. SHERMAN, SON & CO. 1864. "
13,"CAXTON PRESS OF C. SHERMAN, SON & CO.","Entered, according to Act of Congress, in the year 1864, "
14,"BY MARIA J. MOSS,","BY MARIA J. MOSS, "
15,"BY MARIA J. MOSS,",In the Clerk's Office of the District Court of the United States for the Eastern District of Pennsylvania. 
16,DEDICATION.,DEDICATION. 
17,DEDICATION.,"""What's under this cover? For cookery's a secret.""--MOORE. "
18,DEDICATION.,"When I wrote the following pages, some years back at Oak Lodge, as a pastime, I did not think it would be of service to my fellow-creatures, for our suffering soldiers, the sick, wounded, and needy, who have so nobly fought our country's cause, to maintain the flag of our great Republic, and to prove among Nations that a Free Republic is not a myth. With these few words I dedicate this book to the SANITARY FAIR to be held in Philadelphia, June, 1864. "
19,DEDICATION.,"March, 1864. "
20,DEDICATION.,"Through tomes of fable and of dream I sought an eligible theme; But none I found, or found them shared Already by some happier bard, Till settling on the current year I found the far-sought treasure near. A theme for poetry, you see-- A theme t' ennoble even me, In memorable forty-three. "
