,Poem Title,Stanza
0,,"Produced by David Edwards, Sam W. and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from scans of public domain material produced by Microsoft for their Live Search Books site.) "
1,A LITTLE WINDOW,A LITTLE WINDOW 
2,JEAN M. SNYDER,JEAN M. SNYDER 
3,_A LITTLE WINDOW_,_A LITTLE WINDOW_ 
4,VERSES BY,VERSES BY 
5,JEAN M. SNYDER,JEAN M. SNYDER 
6,JEAN M. SNYDER,"""_In good sooth, my masters this is no door, yet it is a little window that looketh upon a great world._"" "
7,"BUFFALO, NEW YORK","FOSTER & STEWART PUBLISHING CORPORATION BUFFALO, NEW YORK "
8,"BUFFALO, NEW YORK","All but two of the verses in this volume originally appeared in The Christian Science Monitor, and are reprinted by permission. "
9,"BUFFALO, NEW YORK","The two exceptions are ""Joy"" (page 46) and ""Triumph"" (page 49), which are also copyrighted and reprinted by permission. "
10,TABLE OF CONTENTS,TABLE OF CONTENTS 
11,TABLE OF CONTENTS,Stars                                        7 
12,TABLE OF CONTENTS,The Brook                                    8 
13,TABLE OF CONTENTS,In Eden Valley                               9 
14,TABLE OF CONTENTS,Benediction                                 10 
15,TABLE OF CONTENTS,A Moment                                    11 
16,TABLE OF CONTENTS,The Month of Moonlight                      12 
17,TABLE OF CONTENTS,Wings                                       13 
18,TABLE OF CONTENTS,Heart's Ease                                14 
19,TABLE OF CONTENTS,"The Sign Reads--""To Troutbeck""              15 "
20,TABLE OF CONTENTS,"I, Too                                      16 "
21,TABLE OF CONTENTS,In Early Evening                            17 
22,TABLE OF CONTENTS,Fearless Winging                            18 
23,TABLE OF CONTENTS,Whimsey                                     19 
24,TABLE OF CONTENTS,Remembering                                 20 
25,TABLE OF CONTENTS,Aloofness                                   21 
26,TABLE OF CONTENTS,Listening                                   22 
27,TABLE OF CONTENTS,September's End                             23 
28,TABLE OF CONTENTS,Content                                     24 
29,TABLE OF CONTENTS,Rhythm                                      25 
30,TABLE OF CONTENTS,Contrast                                    26 
31,TABLE OF CONTENTS,Surety                                      27 
32,TABLE OF CONTENTS,Guests                                      28 
33,TABLE OF CONTENTS,Storm                                       30 
34,TABLE OF CONTENTS,A Reminder                                  31 
35,TABLE OF CONTENTS,Buffalo Harbor                              32 
36,TABLE OF CONTENTS,From a Train Window                         34 
37,TABLE OF CONTENTS,Scotland                                    35 
38,TABLE OF CONTENTS,Friends                                     36 
