,Poem Title,Stanza
0,,"Produced by Mark C. Orton, Branko Collin and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive) "
1,IOLÄUS,IOLÄUS 
2,_BY THE SAME AUTHOR_,_BY THE SAME AUTHOR_ 
3,_BY THE SAME AUTHOR_,A SON OF CAIN: POEMS. Cr. 8vo. 3/6 net. 
4,_BY THE SAME AUTHOR_,IN THE WAKE OF THE PH[OE]NIX: POEMS. F'cap. 8vo. 3/6 net. 
5,IOLÄUS:,IOLÄUS: 
6,THE MAN THAT WAS A GHOST,THE MAN THAT WAS A GHOST 
7,BY,BY 
8,JAMES A. MACKERETH,JAMES A. MACKERETH 
9,"NEW YORK, BOMBAY AND CALCUTTA","LONGMANS, GREEN, AND CO. 39 PATERNOSTER ROW, LONDON NEW YORK, BOMBAY AND CALCUTTA "
10,"NEW YORK, BOMBAY AND CALCUTTA",1913 
11,ARTHUR RANSOM,TO THE MEMORY OF MY FRIEND ARTHUR RANSOM 
12,HAIL AND FAREWELL,HAIL AND FAREWELL 
13,HAIL AND FAREWELL,To A.R. 
14,HAIL AND FAREWELL,"We range the ringing slopes of life; but you Scale the last summit, high in lonelier air, Whose dizzy pinnacle each soul must dare For valedictions born and ventures new. From dust to spirit climb, O brave and true! Strong in the wisdom that is more than prayer; High o'er the mists of pain and of despair, Mount to the vision, and the far adieu. "
15,HAIL AND FAREWELL,"Merged in the vastness, with a calm surmise Mount, lonely climber, brightened from afar; Whose soul is secret as the evening-star; Whose steps are toward the ultimate surprise: No dubious morrow dims those daring eyes-- Divinely lit whence truth's horizons are. "
16,HAIL AND FAREWELL,"_The sonnets in this volume have previously appeared in the columns of ""The Academy,"" ""The Eye-Witness,"" and ""The Yorkshire Observer."" My thanks are due to the Editors of these publications for their kind permission to republish._ "
17,J.A.M.,J.A.M. 
18,J.A.M.,"_Stocka House, Cottingley, Bingley._ "
19,CONTENTS,CONTENTS 
20,CONTENTS,Title Poem:              Page 
21,CONTENTS,Ioläus                   13 
22,CONTENTS,Sonnets: 
23,"""    II.            83","The Return               67 The Soul and the Sea     69 Nations Estranged        71 The Passing-Bell         73 Condemned                75 To America. I.           77 ""     II.          79 To Italy. I.             81 ""    II.            83 "
24,IOLÄUS:,IOLÄUS: 
25,THE MAN THAT WAS A GHOST,THE MAN THAT WAS A GHOST 
26,THE MAN THAT WAS A GHOST,"Gold light across the golden coomb; The sun went west with horns of fire; Athwart the sweet, sea-breathing room The swallows swooped; the village spire Glowed red against a gleam of broom; While earth its scented secrets told, There, silent, sunset-aureoled, Sat Ioläus, mild and old. "
27,THE MAN THAT WAS A GHOST,"In distance large the moving ships Sailed on into the evening skies. He gazed, and saw not. In eclipse He tensely sat, like one who grips Some semblance that his dream descries, With such a look of far surprise That half-uncanny seemed the man, So warped with age, so weirdly wan: He had such ghostly eyes. "
28,THE MAN THAT WAS A GHOST,"Then half to self, and half to me, Aloof in passion and lone despair, He spoke like one whose secrets flee From silence unaware: Now plaintively from a grief gone blind, Heavy with cumbering care, Now, thrilling thought like a white sea-wind, His words, the echoes of his mind, Haunted the air: "
29,THE MAN THAT WAS A GHOST,... 'Tis gone like the roses of long ago: Yet a dawn's impassioned thrill Makes blush the blossom's virgin snow Far on in a faery hill. Two faces there in the glamour glow In a place that is strangely still. 
30,THE MAN THAT WAS A GHOST,"On the rim of the world is a ruined tower Sky-poised above wide sea-foam, Where a beautiful spirit waits hour by hour, Far-eyed 'gainst a dawn like a phantom flower, Till a ghostly lover comes home.... "
31,THE MAN THAT WAS A GHOST,"To leeward spread the freshening deep Purple beneath a rosy gleam. From a high, mist-engirdled steep Thin anthems to the orient beam Came faint as languid waves of sleep That lap the lonely strands of dream. "
32,THE MAN THAT WAS A GHOST,"We sank our anchor solemnly Into that lustrous, splendid sea; For we, that chased the summer's smile Across the world a wondering while, Hailed at the heart the Happy Isle, The haunted shores of Faëry! "
