,Poem Title,Stanza
0,,"Produced by Thierry Alberto, Robert Ledger and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by the Canadian Institute for Historical Microreproductions (www.canadiana.org)) "
1,SONGS FROM VAGABONDIA,SONGS FROM VAGABONDIA 
2,RICHARD HOVEY,BLISS CARMAN RICHARD HOVEY 
3,TOM B METEYARD,DESIGNS BY TOM B METEYARD 
4,ELKIN MATHEWS AND JOHN LANE,BOSTON COPELAND AND DAY LONDON ELKIN MATHEWS AND JOHN LANE 
5,MDCCCXCIV,MDCCCXCIV 
6,BY BLISS CARMAN AND RICHARD HOVEY.,"_Copyright, 1894._ BY BLISS CARMAN AND RICHARD HOVEY. "
7,BY BLISS CARMAN AND RICHARD HOVEY.,"_To H.F.W., for debts of love unpaid, Her boys inscribe this book that they have made._ "
8,CONTENTS.,CONTENTS. 
9,COMRADES,VAGABONDIA A WAIF THE JOYS OF THE ROAD EVENING ON THE POTOMAC SPRING SONG THE FAUN A ROVER'S SONG DOWN THE SONGO THE WANDER-LOVERS DISCOVERY A MORE ANCIENT MARINER A SONG BY THE SHORE A HILL SONG AT SEA ISABEL CONTEMPORARIES THE TWO BOBBIES A TOAST THE KAVANAGH A CAPTAIN OF THE PRESS-GANG THE BUCCANEERS THE WAR-SONG OF GAMELBAR THE OUTLAW THE KING'S SON LAURANA'S SONG LAUNA DEE THE MENDICANTS THE MARCHING MORROWS IN THE WORKSHOP THE MOTE IN THE HOUSE OF IDIEDAILY RESIGNATION COMRADES 
10,VAGABONDIA.,VAGABONDIA. 
11,VAGABONDIA.,"Off with the fetters That chafe and restrain! Off with the chain! Here Art and Letters, Music and wine, And Myrtle and Wanda, The winsome witches, Blithely combine. Here are true riches, Here is Golconda, Here are the Indies, Here we are free-- Free as the wind is, Free, as the sea. Free! "
12,VAGABONDIA.,Houp-la! 
13,VAGABONDIA.,"What have we To do with the way Of the Pharisee? We go or we stay At our own sweet will; We think as we say, And we say or keep still At our own sweet will, At our own sweet will. "
14,VAGABONDIA.,"Here we are free To be good or bad, Sane or mad, Merry or grim As the mood may be,-- Free as the whim Of a spook on a spree,-- Free to be oddities, Not mere commodities, Stupid and salable, Wholly available, Ranged upon shelves; Each with his puny form In the same uniform, Cramped and disabled; We are not labelled, We are ourselves. "
15,VAGABONDIA.,"Here is the real, Here the ideal; Laughable hardship Met and forgot, Glory of bardship-- World's bloom and world's blot; The shock and the jostle, The mock and the push, But hearts like the throstle A-joy in the bush; Wits that would merrily Laugh away wrong, Throats that would verily Melt Hell in Song. "
16,VAGABONDIA.,"What though the dimes be Elusive as rhymes be, And Bessie, with finger Uplifted, is warning That breakfast next morning (A subject she's scorning) Is mighty uncertain! "
17,VAGABONDIA.,What care we? Linger A moment to kiss-- No time's amiss To a vagabond's ardor-- Thee finish the larder And pull down the curtain. 
18,VAGABONDIA.,"Unless ere the kiss come, Black Richard or Bliss come, Or Tom with a flagon, Or Karl with a jag on-- Then up and after The joy of the night With the hounds of laughter To follow the flight Of the fox-foot hours That double and run Through brakes and bowers Of folly and fun. "
19,VAGABONDIA.,"With the comrade heart For a moment's play, And the comrade heart For a heavier day, And the comrade heart Forever and aye. "
20,VAGABONDIA.,For the joy of wine Is not for long; And the joy of song Is a dream of shine; But the comrade heart Shall outlast art And a woman's love The fame thereof. 
21,VAGABONDIA.,"But wine for a sign Of the love we bring! And song for an oath That Love is king! And both, and both For his worshipping! "
22,VAGABONDIA.,"Then up and away Till the break of day, With a heart that's merry, And a Tom-and-Jerry, And a derry-down-derry-- What's that you say. You highly respectable Buyers and sellers? We should be decenter? Not as we please inter Custom, frugality, Use and morality In the delectable Depths of wine-cellars? "
23,VAGABONDIA.,"Midnights of revel, And noondays of song! Is it so wrong? Go to the Devil! "
24,VAGABONDIA.,"I tell you that we, While you are smirking And lying and shirking life's duty of duties, Honest sincerity, We are in verity Free! Free to rejoice In blisses and beauties! Free as the voice Of the wind as it passes! Free as the bird In the weft of the grasses! Free as the word Of the sun to the sea-- Free! "
25,A WAIF.,A WAIF. 
26,A WAIF.,"Do you know what it is to be vagrant born? A waif is only a waif. And so, For another idle hour I sit, In large content while the fire burns low. "
27,A WAIF.,"I gossip here to my crony heart Of the day just over, and count it one Of the royal elemental days, Though its dreams were few and its deeds were none. "
28,A WAIF.,"Outside, the winter; inside, the warmth And a sweet oblivion of turmoil. Why? All for a gentle girlish hand With its warm and lingering good-bye. "
29,THE JOYS OF THE ROAD.,THE JOYS OF THE ROAD. 
30,THE JOYS OF THE ROAD.,Now the joys of the road are chiefly these: A crimson touch on the hard-wood trees; 
31,THE JOYS OF THE ROAD.,"A vagrant's morning wide and blue, In early fall when the wind walks, too; "
32,THE JOYS OF THE ROAD.,"A shadowy highway cool and brown, Alluring up and enticing down "
33,THE JOYS OF THE ROAD.,"From rippled water to dappled swamp, From purple glory to scarlet pomp; "
34,THE JOYS OF THE ROAD.,"The outward eye, the quiet will, And the striding heart from hill to hill; "
35,THE JOYS OF THE ROAD.,The tempter apple over the fence; The cobweb bloom on the yellow quince; 
36,THE JOYS OF THE ROAD.,"The palish asters along the wood,-- A lyric touch of the solitude; "
37,THE JOYS OF THE ROAD.,"An open hand, an easy shoe. And a hope to make the day go through,-- "
38,THE JOYS OF THE ROAD.,"Another to sleep with, and a third To wake me up at the voice of a bird; "
39,THE JOYS OF THE ROAD.,"The resonant far-listening morn, And the hoarse whisper of the corn; "
40,THE JOYS OF THE ROAD.,"The crickets mourning their comrades lost, In the night's retreat from the gathering frost; "
41,THE JOYS OF THE ROAD.,"(Or is it their slogan, plaintive and shrill, As they beat on their corselets, valiant still?) "
42,THE JOYS OF THE ROAD.,"A hunger fit for the kings of the sea, And a loaf of bread for Dickon and me; "
43,THE JOYS OF THE ROAD.,"A thirst like that of the Thirsty Sword, And a jug of cider on the board; "
44,THE JOYS OF THE ROAD.,"An idle noon, a bubbling spring, The sea in the pine-tops murmuring; "
45,THE JOYS OF THE ROAD.,"A scrap of gossip at the ferry; A comrade neither glum nor merry, "
46,THE JOYS OF THE ROAD.,"Asking nothing, revealing naught, But minting his words from a fund of thought, "
47,THE JOYS OF THE ROAD.,"A keeper of silence eloquent, Needy, yet royally well content, "
48,THE JOYS OF THE ROAD.,"Of the mettled breed, yet abhorring strife, And full of the mellow juice of life; "
49,THE JOYS OF THE ROAD.,"A taster of wine, with an eye for a maid, Never too bold, and never afraid, "
50,THE JOYS OF THE ROAD.,"Never heart-whole, never heart-sick, (These are the things I worship in Dick) "
51,THE JOYS OF THE ROAD.,"No fidget and no reformer, just A calm observer of ought and must, "
52,THE JOYS OF THE ROAD.,"A lover of books, but a reader of man, No cynic and no charlatan, "
53,THE JOYS OF THE ROAD.,"Who never defers and never demands, But, smiling, takes the world in his hands,-- "
54,THE JOYS OF THE ROAD.,Seeing it good as when God first saw And gave it the weight of his will for law. 
55,THE JOYS OF THE ROAD.,"And O the joy that is never won, But follows and follows the journeying sun, "
56,THE JOYS OF THE ROAD.,"By marsh and tide, by meadow and stream, A will-o'-the-wind, a light-o'-dream, "
57,THE JOYS OF THE ROAD.,"Delusion afar, delight anear, From morrow to morrow, from year to year, "
58,THE JOYS OF THE ROAD.,"A jack-o'-lantern, a fairy fire, A dare, a bliss, and a desire! "
59,THE JOYS OF THE ROAD.,"The racy smell of the forest loam, When the stealthy, sad-heart leaves go home; "
60,THE JOYS OF THE ROAD.,"(O leaves, O leaves, I am one with you, Of the mould and the sun and the wind and the dew!) "
61,THE JOYS OF THE ROAD.,The broad gold wake of the afternoon; The silent fleck of the cold new moon; 
62,THE JOYS OF THE ROAD.,The sound of the hollow sea's release From stormy tumult to starry peace; 
63,THE JOYS OF THE ROAD.,With only another league to wend; And two brown arms at the journey's end! 
64,THE JOYS OF THE ROAD.,These are the joys of the open road-- For him who travels without a load. 
65,EVENING ON THE POTOMAC.,EVENING ON THE POTOMAC. 
66,EVENING ON THE POTOMAC.,"The fervid breath of our flushed Southern May Is sweet upon the city's throat and lips, As a lover's whose tired arm slips Listlessly over the shoulder of a queen. "
