,Poem Title,line
0,,
1,,
2,,
3,,
4,,Produced by Chuck Greif and the Online Distributed
5,,Proofreading Team at http://www.pgdp.net (This file was
6,,produced from images available at The Internet Archive)
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,ANCIENT CLASSICS,ANCIENT CLASSICS
17,ANCIENT CLASSICS,
18,FOR,FOR
19,FOR,
20,ENGLISH READERS,ENGLISH READERS
21,ENGLISH READERS,
22,EDITED BY THE,EDITED BY THE
23,EDITED BY THE,
24,"REV. W. LUCAS COLLINS, M.A.","REV. W. LUCAS COLLINS, M.A."
25,"REV. W. LUCAS COLLINS, M.A.",
26,HOMER,HOMER
27,HOMER,
28,THE ILIAD--THE ODYSSEY,THE ILIAD--THE ODYSSEY
29,THE ILIAD--THE ODYSSEY,
30,"BY REV. W. LUCAS COLLINS, M.A.","BY REV. W. LUCAS COLLINS, M.A."
31,"BY REV. W. LUCAS COLLINS, M.A.",
32,WILLIAM BLACKWOOD AND SONS,WILLIAM BLACKWOOD AND SONS
33,EDINBURGH AND LONDON,EDINBURGH AND LONDON
34,EDINBURGH AND LONDON,
35,EDINBURGH AND LONDON,"The subjects in this Series may be had separately, in cloth, price 2s."
36,EDINBURGH AND LONDON,"6d.; or two volumes bound in one, in leather back and marbled sides and"
37,EDINBURGH AND LONDON,"edges, arranged as follows:--"
38,EDINBURGH AND LONDON,
39,THE ILIAD AND,THE ILIAD AND
40,ODYSSEY.,ODYSSEY.
41,ODYSSEY.,
42,HERODOTUS.,HERODOTUS.
43,XENOPHON.,XENOPHON.
44,XENOPHON.,
45,EURIPIDES.,EURIPIDES.
46,ARISTOPHANES.,ARISTOPHANES.
47,ARISTOPHANES.,
48,PLATO.,PLATO.
49,LUCIAN.,LUCIAN.
50,LUCIAN.,
51,ÆSCHYLUS.,ÆSCHYLUS.
52,SOPHOCLES.,SOPHOCLES.
53,SOPHOCLES.,
54,HESIOD AND THEOGNIS.,HESIOD AND THEOGNIS.
55,ANTHOLOGY.,ANTHOLOGY.
56,ANTHOLOGY.,
57,VIRGIL.,VIRGIL.
58,HORACE.,HORACE.
59,HORACE.,
60,JUVENAL.,JUVENAL.
61,PLAUTUS AND TERENCE.,PLAUTUS AND TERENCE.
62,PLAUTUS AND TERENCE.,
63,CÆSAR.,CÆSAR.
64,TACITUS.,TACITUS.
65,TACITUS.,
66,CICERO.,CICERO.
67,PLINY.,PLINY.
68,PLINY.,
69,PLINY.,
70,PLINY.,
71,PLINY.,
72,HOMER,HOMER
73,HOMER,
74,THE ILIAD,THE ILIAD
75,THE ILIAD,
76,BY THE,BY THE
77,BY THE,
78,"REV. W. LUCAS COLLINS, M.A.","REV. W. LUCAS COLLINS, M.A."
79,"REV. W. LUCAS COLLINS, M.A.",
80,AUTHOR OF,AUTHOR OF
